ID,item_cnt_month
0,-0.09483281
1,-0.017732348
2,-0.002705011
3,-0.007018548
4,-0.029836114
5,-0.09483281
6,-0.17653304
7,-0.017632138
8,-0.017732348
9,-0.17653304
10,-0.017732348
11,-0.3019608
12,-0.017732348
13,-0.024295498
14,0.030015543
15,-0.024295498
16,-0.024295498
17,-0.017632138
18,0.010193292
19,-0.11580169
20,-0.017732348
21,-0.042031076
22,-0.10631639
23,-0.002705011
24,-0.002705011
25,-0.16535099
26,-0.16535099
27,-0.13311797
28,-0.25443226
29,-0.016862635
30,-0.16481395
31,-0.15873298
32,-0.16481395
33,-0.14598793
34,0.007525329
35,0.007525329
36,-0.012971606
37,-0.15665142
38,-0.019350503
39,-0.019350503
40,-0.007018548
41,-0.11985864
42,0.4479808
43,0.2056867
44,-0.016862635
45,-0.016862635
46,-0.017632138
47,-0.010232773
48,-0.013455872
49,-0.012971606
50,-0.012971606
51,-0.007018548
52,-0.017632138
53,-0.010232773
54,-0.083178475
55,0.010193292
56,-0.09483281
57,-0.09483281
58,-0.11580169
59,-0.17653304
60,-0.11580169
61,-0.002705011
62,-0.002705011
63,0.010193292
64,0.010193292
65,-0.15300344
66,-0.012209129
67,-0.012946907
68,-0.09483281
69,0.01111098
70,0.001776237
71,-0.16235308
72,0.010193292
73,-0.001052145
74,-0.05587666
75,-0.05587666
76,0.000433538
77,-0.015873712
78,-0.024295498
79,0.003717732
80,-0.040140834
81,-0.11580169
82,-0.05587666
83,-0.11580169
84,-0.010733392
85,-0.05587666
86,-0.029405583
87,-0.017732348
88,-0.017955478
89,-0.016742129
90,-0.019350503
91,-0.019350503
92,-0.007018548
93,-0.09483281
94,-0.11580169
95,-0.017732348
96,-0.08923797
97,-0.05587666
98,-0.035416503
99,-0.1400948
100,-0.19876781
101,-0.29055488
102,-0.06983645
103,-0.15300344
104,0.000433538
105,-0.016742129
106,-0.016742129
107,-0.10522078
108,-0.017732348
109,-0.045450132
110,-0.08923797
111,-0.08923797
112,-0.08923797
113,-0.11580169
114,-0.002705011
115,-0.05587666
116,-0.014668766
117,-0.016742129
118,-0.017632138
119,-0.017732348
120,-0.017732348
121,-0.017732348
122,-0.017732348
123,-0.017732348
124,-0.017632138
125,-0.017632138
126,0.000433538
127,-0.015963707
128,-0.016862635
129,-0.012971606
130,-0.08158879
131,-0.003230881
132,-0.016742129
133,0.007048842
134,-0.017732348
135,-0.006093431
136,0.002588291
137,-0.002705011
138,0.010193292
139,0.010193292
140,-0.017732348
141,-0.012457971
142,-0.016172554
143,-0.01516458
144,0.007525329
145,0.007525329
146,0.007525329
147,-0.007018548
148,-0.016172554
149,-0.012209129
150,-0.2773301
151,-0.016862635
152,-0.001345713
153,-0.017732348
154,-0.2175498
155,-0.017732348
156,0.000433538
157,-0.010232773
158,0.010193292
159,-0.01516458
160,-0.015970793
161,-0.017732348
162,-0.0248194
163,0.010193292
164,-0.013917912
165,-0.014668766
166,-0.012457971
167,-0.014668766
168,-0.010232773
169,-0.014668766
170,-0.017732348
171,-0.016742129
172,-0.18629968
173,-0.002705011
174,-0.024295498
175,-0.14656782
176,-0.01048835
177,0.000433538
178,0.000433538
179,-0.014668766
180,-0.016742129
181,-0.016742129
182,-0.016742129
183,0.010193292
184,-0.017732348
185,-0.012457971
186,-0.014668766
187,-0.010232773
188,-0.002705011
189,-0.002705011
190,-0.024295498
191,-0.024295498
192,-0.017632138
193,0.010193292
194,0.000433538
195,-0.09483281
196,-0.13058217
197,-0.05587666
198,-0.007018548
199,-0.019350503
200,-0.019350503
201,-0.019350503
202,-0.05587666
203,-0.06983645
204,-0.08923797
205,-0.05587666
206,-0.05587666
207,-0.06983645
208,-0.012971606
209,0.000433538
210,-0.016742129
211,-0.016172554
212,-0.017732348
213,-0.017632138
214,-0.013999421
215,0.000433538
216,-0.017732348
217,-0.016742129
218,0.000740688
219,0.0069081
220,-0.05587666
221,0.010193292
222,0.000433538
223,-0.042031076
224,-0.09483281
225,-0.12745604
226,-0.100094065
227,0.010193292
228,-0.010232773
229,-0.017732348
230,0.011045147
231,0.006069575
232,-0.25053385
233,-0.010232773
234,0.010221999
235,-0.017725434
236,-0.011409927
237,-0.11530545
238,-0.20600358
239,-0.012209129
240,-0.016862635
241,-0.017732348
242,-0.017725434
243,0.010193292
244,-0.012971606
245,-0.01516458
246,-0.007018548
247,-0.09483281
248,0.000433538
249,-0.09483281
250,0.010193292
251,-0.017732348
252,0.010193292
253,-0.10522078
254,-0.002705011
255,-0.17653304
256,0.008533616
257,-0.016172554
258,-0.024295498
259,-0.014668766
260,0.004223537
261,-0.014668766
262,-0.016742129
263,0.007525329
264,-0.017632138
265,-0.0628697
266,-0.014668766
